277, 244, 225, 254
246, 258, 243, 253
245, 221, 261, 273
246, 240, 260, 254
261, 237, 263, 239
240, 253, 252, 255
230, 250, 254, 266
225, 261, 243, 271
252, 253, 249, 246
248, 238, 277, 237
274, 239, 236, 251
246, 263, 252, 239
253, 276, 231, 240
269, 252, 235, 244
249, 255, 241, 255
239, 259, 244, 258
249, 236, 258, 257
247, 256, 242, 255
249, 237, 255, 259
261, 260, 229, 250
262, 251, 259, 228
257, 257, 254, 232
240, 253, 268, 239
250, 239, 253, 258
246, 256, 247, 251
249, 244, 264, 243
266, 245, 246, 243
246, 242, 268, 244
251, 229, 264, 256
238, 274, 268, 220
244, 268, 231, 257
249, 249, 252, 250
246, 239, 249, 266
241, 217, 262, 280
251, 248, 246, 255
262, 237, 249, 252
241, 255, 256, 248
254, 250, 246, 250
272, 254, 230, 244
261, 234, 262, 243
250, 245, 240, 265
256, 249, 246, 249
262, 237, 239, 262
243, 269, 243, 245
263, 250, 230, 257
255, 236, 267, 242
234, 266, 253, 247
259, 249, 249, 243
244, 270, 255, 231
272, 257, 230, 241
234, 268, 242, 256
246, 246, 246, 262
265, 237, 252, 246
268, 257, 235, 240
247, 254, 254, 245
231, 259, 253, 257
219, 274, 260, 247
247, 241, 282, 230
262, 236, 247, 255
247, 252, 253, 248
240, 263, 261, 236
249, 254, 260, 237
252, 264, 242, 242
274, 229, 250, 247
241, 262, 256, 241
267, 236, 237, 260
227, 247, 271, 255
227, 238, 261, 274
252, 238, 272, 238
262, 249, 246, 243
233, 232, 263, 272
246, 282, 257, 215
248, 253, 237, 262
259, 244, 243, 254
252, 225, 275, 248
244, 234, 261, 261
249, 239, 270, 242
246, 268, 271, 215
226, 227, 277, 270
272, 242, 261, 225
243, 224, 276, 257
240, 256, 248, 256
244, 240, 256, 260
265, 237, 257, 241
250, 247, 251, 252
266, 239, 248, 247
218, 270, 243, 269
220, 266, 265, 249
250, 258, 240, 252
249, 251, 235, 265
239, 239, 252, 270
240, 232, 272, 256
242, 275, 210, 273
271, 221, 252, 256
239, 262, 257, 242
257, 256, 250, 237
220, 253, 270, 257
277, 242, 227, 254
261, 253, 245, 241
250, 232, 276, 242
